,TYPE,NUMBER,SESSION,AUTHORSHIP,TITLE,URL
5,Projeto de Lei,739/XIV,2,PCP,"
Estabelece medidas de redução do número de alunos por turma visando a melhoria do processo de ensino-aprendizagem",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110519
6,Projeto de Lei,738/XIV,2,PCP,"
Medidas de apoios aos estudantes no contexto da ação social escolar",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110518
7,Projeto de Lei,737/XIV,2,CRISTINA RODRIGUES (Ninsc),"
Procede à quarta alteração à Lei n.º 92/95 de 12 de Setembro restringindo práticas exclusivamente desportivas que provoquem morte a animais",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110511
8,Projeto de Lei,736/XIV,2,CRISTINA RODRIGUES (Ninsc),"
Reforça a protecção dos estudantes internacionais inscritos em Instituições de Ensino Superior Públicas",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110509
9,Projeto de Lei,735/XIV,2,PEV,"
Proíbe a utilização de animais vivos para a prática desportiva do tiro com arma de caça ",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110508
0,Projeto de Lei,734/XIV,2,JOACINE KATAR MOREIRA (Ninsc),"
Cria o regime de proteção e ampliação do arvoredo urbano",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110507
1,Projeto de Lei,733/XIV,2,PSD,"
Define os critérios de gestão do arvoredo urbano público e a obrigatoriedade da criação de regulamentos municipais",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110491
2,Projeto de Lei,732/XIV,2,PSD,"
Renovação da imposição transitória da obrigatoriedade do uso de máscara em espaços públicos, prorrogando, pela segunda vez, a vigência da Lei n.º 62-A/2020, de 27 de outubro",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110486
3,Projeto de Lei,731/XIV,2,PSD,"
Sétima alteração à Lei n.º 5/2006, de 23 de fevereiro, que “Aprova o regime jurídico das armas e suas munições",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110485
4,Projeto de Lei,730/XIV,2,PCP,"
Altera a lei que regula a eleição dos titulares dos órgãos das autarquias locais em matéria de inelegibilidades especiais (11.ª alteração à Lei Orgânica n.º 1/2001, de 14 de agosto, que regula a eleição dos titulares dos órgãos das autarquias locais, alterada pelas Leis Orgânicas n.ºs 5-A/2001, de 26 de novembro, 3/2005, de 29 de agosto, 3/2010, de 15 de dezembro, e 1/2011, de 30 de novembro, pela Lei n.º 72-A/2015, de 23 de julho, e pelas Leis Orgânicas n.ºs 1/2017 e 2/2017, de 2 de maio, 3/2018, de 17 de agosto, 1-A/2020, de 21 de agosto e 4/2020, de 11 de novembro). ",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110482
5,Projeto de Lei,729/XIV,2,PCP,"
Reforça os direitos de participação das associações representativas dos profissionais da Guarda Nacional Republicana (1.ª alteração à Lei n.º 39/2004, de 18 de agosto que estabelece os princípios e as bases gerais do exercício do direito de associação profissional dos militares da GNR, à Lei n.º 63/2007, de 6 de novembro que aprova a Lei Orgânica da GNR e ao Decreto–Lei nº 233/2008, de 2 de dezembro que regulamenta o exercício do direito de associação pelos profissionais da GNR).",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110481
6,Projeto de Lei,728/XIV,2,IL,"
Altera a Lei Eleitoral dos Órgãos das Autarquias Locais (11.ª Alteração à Lei Orgânica n.º 1/2001, de 14 de agosto)",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110475
7,Projeto de Lei,727/XIV,2,PCP,"
Medidas de apoio aos trabalhadores do Sistema Científico e Tecnológico Nacional",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110469
8,Projeto de Lei,726/XIV,2,PCP,"
Medidas de apoio aos estudantes do Ensino Superior Público",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110467
9,Projeto de Lei,725/XIV,2,PAN,"
Determina a não distribuição de leite achocolatado e outros produtos aromatizados às crianças do ensino pré-escolar e do 1.º ciclo do ensino básico, tendo em vista o combate da obesidade infantil e a promoção de hábitos alimentares saudáveis, procedendo à quarta alteração do Decreto-Lei n.º 55/2009, de 2 de Março",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110464
0,Projeto de Lei,724/XIV,2,BE,"
Regime extraordinário de apoio à manutenção de habitação e espaços comerciais no período de mitigação e recuperação do SARS Cov-2  (6.ª alteração à Lei n.º 4-C/2020, de 6 de abril)",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110461
1,Projeto de Lei,723/XIV,2,PAN,"
Criação do regime jurídico de proteção do arvoredo urbano",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110456
2,Projeto de Lei,722/XIV,2,"PS, PSD, BE, PCP, CDS-PP, PAN, PEV","
Alteração à Lei n.º 77/88, de 1 de julho, republicada pela Lei n.º 28/2003, de 30 de julho, e alterada pelas Leis n.ºs 13/2010, de 19 de julho, e 55/2010, de 24 de dezembro",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110453
3,Projeto de Lei,721/XIV,2,PAN,"
Implementa a obrigatoriedade de existência de opção vegetariana nas ementas das cantinas e refeitórios do sector social, alargando o âmbito de aplicação da Lei n.º 11/2017, de 17 de Abril",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110444
